等级,机制,副本名称,游戏图片,货币奖励,特殊物品
15,√,天然要害沙斯塔夏溶洞,,,九宫幻卡：鱼人 管弦乐琴乐谱：昏暗的深处 溶洞咸淡水
16,√,地下灵殿塔姆·塔拉墓园,,,陈旧的乐谱：漆黑的誓言
17,√,封锁坑道铜铃铜山,,,管弦乐琴乐谱：地下坑道
20,√,魔兽领域日影地修炼所,,,管弦乐琴乐谱：修行
24,√,监狱废墟托托·拉克千狱,,,管弦乐琴乐谱：千声悲鸣 千狱幼苗
28,√,名门府邸静语庄园,,,九宫幻卡：梦魔 管弦乐琴乐谱：少女的哀歌 庄园蜡
32,√,休养胜地布雷福洛克斯野营地,,,管弦乐琴乐谱：莫要在野营地撒野
35,,古代遗迹喀恩埋没圣堂,,,管弦乐琴乐谱：昔日的回响 贝拉哈迪亚玻璃
38,√,流沙迷宫樵鸣洞,,,九宫幻卡：奇美拉 管弦乐琴乐谱：憎恶
41,√,对龙城塞石卫塔,,,九宫幻卡：蓝龙 管弦乐琴乐谱：极寒战线 战神钢
44,√,山中战线泽梅尔要塞,,,九宫幻卡：冥鬼之眼 管弦乐琴乐谱：泽梅尔要塞
47,√,毒雾洞窟黄金谷,,,魔界花骨朵 九宫幻卡：魔界花 管弦乐琴乐谱：守财奴的愚行 食虫植物幼苗
50,√,神灵圣域放浪神古神殿,,20,一口小果冻 九宫幻卡：冬贝利 管弦乐琴乐谱：冬贝利之泪 尼姆光球
50,√,神兵要塞帝国南方堡,,100,九宫幻卡：莉维亚·萨斯·尤尼乌斯
50,,最终决战天幕魔导城,,150,九宫幻卡：盖乌斯·范·巴埃萨
50,√,邪教驻地无限城古堡,,20,恶魔砖块 九宫幻卡：恶魔墙 管弦乐琴乐谱：古城墙内 无限城石材
50,√,领航明灯天狼星灯塔,,30,九宫幻卡：塞壬 陈旧的乐谱：风暴中的灯火
50,√,骚乱坑道铜铃铜山,,30,粘液胶 陈旧的乐谱：黑暗的拥抱
50,√,恶灵府邸静语庄园,,30,九宫幻卡：梦魔 庄园清漆
50,√,腐坏遗迹无限城市街古迹,,40,陈旧的乐谱：魔大战的伤痕
50,√,剑斗领域日影地修炼所,,40,管弦乐琴乐谱：红莲战旗之下
50,√,纷争要地布雷福洛克斯野营地,,40,奥猴宝宝 管弦乐琴乐谱：愤怒
50,√,财宝传说破舰岛,,50,淘气南加 管弦乐琴乐谱：越过地平线 野香蕉的苗
50,√,惨剧灵殿塔姆·塔拉墓园,,50,陈旧的乐谱：漆黑的誓言
50,,激战城塞石卫塔,,50,九宫幻卡：蓝龙 对龙城塞的木材
50,,凛冽洞天披雪大冰壁,,70,九宫幻卡：芬里尔 管弦乐琴乐谱：密道
50,,逆转要害沙斯塔夏溶洞,,70,不说话的蜂鸟 九宫幻卡：克拉肯 陈旧的乐谱：激潮 破损的宝箱
50,,苏醒遗迹喀恩埋没圣堂,,70,小木乃伊 九宫幻卡：审理神代言者 管弦乐琴乐谱：落日遗迹
50,,幻龙残骸密约之塔,,100,管弦乐琴乐谱：银泪
50,,武装圣域放浪神古神殿,,100,九宫幻卡：冬贝利 九宫幻卡：光鳞兄弟莫拉加加 管弦乐琴乐谱：圣域陷阱
50,,邪念妖地无限城古堡,,100,九宫幻卡：恶魔墙 九宫幻卡：弗迪亚 管弦乐琴乐谱：战祸
51,,冰雪废堡暮卫塔,,,九宫幻卡：狮鹫 管弦乐琴乐谱：堕落
53,,天山绝顶索姆阿尔灵峰,,,风筝小猫 九宫幻卡：刁曼 管弦乐琴乐谱：永眠
55,√,邪龙王座龙巢神殿,,,小熊猫 九宫幻卡：尼德霍格 管弦乐琴乐谱：邪龙咆哮
57,√,圣教中枢伊修加德教皇厅,,,独角幼兽 九宫幻卡：沙里贝尔 管弦乐琴乐谱：圣座 管弦乐琴乐谱：钟声 管弦乐琴乐谱：圣痕
59,,学识宝库迦巴勒幻想图书馆,,,63页 九宫幻卡：比布鲁斯 管弦乐琴乐谱：万世箴言
60,√,血战苍穹魔科学研究所,,150,陈旧的乐谱：异想天开
60,,空中神域不获岛,,20,丑小鸭 九宫幻卡：招雷巨蛇 管弦乐琴乐谱：犹如夏雨
60,,博物战舰无限回廊,,20,猫头小鹰 九宫幻卡：博物总管 管弦乐琴乐谱：坚不可摧
60,,草木庭园圣茉夏娜植物园,,30,叶小妖妖 九宫幻卡：剧毒美人 管弦乐琴乐谱：有毒植物
60,,地脉灵灯天狼星灯塔,,30,九宫幻卡：爆弹之母 管弦乐琴乐谱：触礁
60,,星海空间颠倒塔,,40,卡尔克 布莉娜 九宫幻卡：卡尔克布莉娜 管弦乐琴乐谱：跳舞娃娃卡尔克布莉娜 ～苍穹～ 陈旧的乐谱：上下易位
60,,神圣遗迹无限城市街古迹,,40,蓝闪蝶 九宫幻卡：基路伯 管弦乐琴乐谱：古都
60,√,天龙宫殿忆罪宫,,50,九宫幻卡：赫拉斯瓦尔格 管弦乐琴乐谱：谢罪之诗
60,,黑涡传说破舰岛,,50,触手 九宫幻卡：大海盗雾须王 管弦乐琴乐谱：神圣的教导
60,,险峻峡谷塞尔法特尔溪谷,,70,疣猪小子 九宫幻卡：晴天霹雳托佐尔·法托特尔
60,,秘本宝库迦巴勒幻想图书馆,,70,九宫幻卡：博学林鸮 管弦乐琴乐谱：恐书症 真妖异全集手抄本
60,,坚牢铁壁巴埃萨长城,,100,斗牛小犬 九宫幻卡：铁面公卿
60,,天山深境索姆阿尔灵峰,,100,九宫幻卡：熔岩蝎
61,,漂流海域妖歌海,,,吉多 管弦乐琴乐谱：通向黎明
63,,海底宫殿紫水宫,,,刺球球 管弦乐琴乐谱：打开的玉手箱
65,,试炼行路巴儿达木霸道,,,旅雀儿 管弦乐琴乐谱：英雄未成
