等级,机制,副本名称,游戏图片,货币奖励,特殊物品
100,√,忆中金曦亚历山德里亚,,50 20,铁皮哨兵T1 管弦乐琴乐谱：无尽的旅路
100,√,荒野秘境仙人刺谷,,50 20,酒杯刺 管弦乐琴乐谱：红土大地的恩惠 图拉尔的小蛇的罐子？
100,√,噩梦乐园迷途鬼区,,50 20,恶作剧小丑 管弦乐琴乐谱：不见月明的小丑 ～金曦～ 迷途鬼区壁灯 梦像地板贴
100,√,废弃据点玉韦亚瓦塔实验站,,80 50,跃阳兔 九宫幻卡：卡尼洛喀站长 管弦乐琴乐谱：凶猛的容器
100,,王城古迹永护塔底,文件:112592.png,80 50,文件:758c671d21cc0f37d9d72c912a24ed7747c9ad09.png王家猎犬 九宫幻卡：灵变柱 管弦乐琴乐谱：寻找公主 ～金曦～
100,√,朱雀幻巧战,文件:112594.png,20 10,
100,√,永恒女王歼灭战,,10 5,九宫幻卡：永恒女王
100,,泽莲尼娅歼灭战,文件:112595.png,12 6,九宫幻卡：泽莲尼娅
100,√,艳翼蛇鸟歼殛战,,15 8,天灾之翼 九宫幻卡：艳翼蛇鸟 陈旧的乐谱：天灾 艳翼蛇鸟的尾羽
100,√,佐拉加歼殛战,,15 8,奇迹之翼 九宫幻卡：佐拉加 陈旧的乐谱：存在的理由 奇迹装甲片
100,√,永恒女王忆想歼灭战,,20 10,永恒之翼 九宫幻卡：永恒女王 陈旧的乐谱：孤独之路 永恒女王的王权象征
100,,泽莲尼娅歼殛战,文件:112596.png,25 13,文件:2ed79bcd103871e63301957877f8e7ed9335f2fc.png骑士之翼 九宫幻卡：泽莲尼娅 陈旧的乐谱：五月的玫瑰 ～金曦～ 泽莲尼娅核心
100,√,朱诺：第一巡行,,150 20,微暗之王 九宫幻卡：暗之王 破破烂烂的乐谱 皇家大马士革织物
100,√,阿卡狄亚登天斗技场 轻量级1,,10 5,九宫幻卡：黑猫 管弦乐琴乐谱：开演时间！
100,√,阿卡狄亚登天斗技场 轻量级2,,10 5,管弦乐琴乐谱：甜甜蜜蜜
100,√,阿卡狄亚登天斗技场 轻量级3,,10 5,管弦乐琴乐谱：燃烧的灵魂
100,√,阿卡狄亚登天斗技场 轻量级4,,10 5,黑小猫 管弦乐琴乐谱：孤注一掷
100,,阿卡狄亚登天斗技场 中量级1,文件:112597.png,,管弦乐琴乐谱：跟着节奏跳起来
100,,阿卡狄亚登天斗技场 中量级2,文件:112599.png,,管弦乐琴乐谱：回到画板上
100,,阿卡狄亚登天斗技场 中量级3,文件:112601.png,,管弦乐琴乐谱：从不畏惧
100,,阿卡狄亚登天斗技场 中量级4,文件:112603.png,,九宫幻卡：剑嚎 管弦乐琴乐谱：全力释放 面部配饰：时髦眼镜
100,√,阿卡狄亚零式登天斗技场 轻量级1,,15,九宫幻卡：黑猫
100,√,阿卡狄亚零式登天斗技场 轻量级2,,15,
100,√,阿卡狄亚零式登天斗技场 轻量级3,,15,
100,√,阿卡狄亚零式登天斗技场 轻量级4,,15,独轮车S1启动钥匙 黑小猫 管弦乐琴乐谱：危险的赌注
100,,阿卡狄亚零式登天斗技场 中量级1,文件:112598.png,,
100,,阿卡狄亚零式登天斗技场 中量级2,文件:112600.png,,
100,,阿卡狄亚零式登天斗技场 中量级3,文件:112602.png,,
100,,阿卡狄亚零式登天斗技场 中量级4,文件:112604.png,,飞梭C9启动钥匙 九宫幻卡：剑嚎 管弦乐琴乐谱：无与伦比 面部配饰：时髦眼镜
100,√,光暗未来绝境战,,30,巫女图腾
100,√,暗黑之云诛灭战,,20,暗黑领域 暗黑羽衣 薄暗之云 发型样式：半双马尾
