等级,机制,副本名称,游戏图片,货币奖励,特殊物品
50,√,神灵圣域放浪神古神殿,,20,一口小果冻 九宫幻卡：冬贝利 管弦乐琴乐谱：冬贝利之泪 尼姆光球
50,√,神兵要塞帝国南方堡,,100,九宫幻卡：莉维亚·萨斯·尤尼乌斯
50,,最终决战天幕魔导城,,150,九宫幻卡：盖乌斯·范·巴埃萨
50,√,邪教驻地无限城古堡,,20,恶魔砖块 九宫幻卡：恶魔墙 管弦乐琴乐谱：古城墙内 无限城石材
50,√,领航明灯天狼星灯塔,,30,九宫幻卡：塞壬 陈旧的乐谱：风暴中的灯火
50,√,骚乱坑道铜铃铜山,,30,粘液胶 陈旧的乐谱：黑暗的拥抱
50,√,恶灵府邸静语庄园,,30,九宫幻卡：梦魔 庄园清漆
50,√,腐坏遗迹无限城市街古迹,,40,陈旧的乐谱：魔大战的伤痕
50,√,剑斗领域日影地修炼所,,40,管弦乐琴乐谱：红莲战旗之下
50,√,纷争要地布雷福洛克斯野营地,,40,奥猴宝宝 管弦乐琴乐谱：愤怒
50,√,财宝传说破舰岛,,50,淘气南加 管弦乐琴乐谱：越过地平线 野香蕉的苗
50,√,惨剧灵殿塔姆·塔拉墓园,,50,陈旧的乐谱：漆黑的誓言
50,,激战城塞石卫塔,,50,九宫幻卡：蓝龙 对龙城塞的木材
50,,凛冽洞天披雪大冰壁,,70,九宫幻卡：芬里尔 管弦乐琴乐谱：密道
50,,逆转要害沙斯塔夏溶洞,,70,不说话的蜂鸟 九宫幻卡：克拉肯 陈旧的乐谱：激潮 破损的宝箱
50,,苏醒遗迹喀恩埋没圣堂,,70,小木乃伊 九宫幻卡：审理神代言者 管弦乐琴乐谱：落日遗迹
50,,幻龙残骸密约之塔,,100,管弦乐琴乐谱：银泪
50,,武装圣域放浪神古神殿,,100,九宫幻卡：冬贝利 九宫幻卡：光鳞兄弟莫拉加加 管弦乐琴乐谱：圣域陷阱
50,,邪念妖地无限城古堡,,100,九宫幻卡：恶魔墙 九宫幻卡：弗迪亚 管弦乐琴乐谱：战祸
51,,冰雪废堡暮卫塔,,,九宫幻卡：狮鹫 管弦乐琴乐谱：堕落
53,,天山绝顶索姆阿尔灵峰,,,风筝小猫 九宫幻卡：刁曼 管弦乐琴乐谱：永眠
55,√,邪龙王座龙巢神殿,,,小熊猫 九宫幻卡：尼德霍格 管弦乐琴乐谱：邪龙咆哮
57,√,圣教中枢伊修加德教皇厅,,,独角幼兽 九宫幻卡：沙里贝尔 管弦乐琴乐谱：圣座 管弦乐琴乐谱：钟声 管弦乐琴乐谱：圣痕
59,,学识宝库迦巴勒幻想图书馆,,,63页 九宫幻卡：比布鲁斯 管弦乐琴乐谱：万世箴言
50,√,究极神兵破坏作战,,100,
50,√,那布里亚勒斯讨伐战,,15,
50,√,死化奇美拉讨伐战,,10,
50,,海德拉讨伐战,,10,
50,,大桥上的决斗,,10,九宫幻卡：吉尔伽美什&恩奇都 陈旧的乐谱：大桥上的死斗
50,,艾玛吉娜杯斗技大会决赛,,15,迷你奥尔特罗斯 九宫幻卡：蒂娜·布兰福德 九宫幻卡：奥尔特罗斯&提丰
50,,无限城的死斗,,15,恩奇都 九宫幻卡：巴兹·克劳泽 陈旧的乐谱：大桥上的死斗
50,,伊弗利特歼灭战,,12,九宫幻卡：伊弗利特 伊弗利特之角
50,,迦楼罗歼灭战,,12,九宫幻卡：迦楼罗 迦楼罗之羽
50,,泰坦歼灭战,,15,九宫幻卡：泰坦 泰坦之岩
50,,莫古力贤王歼灭战,,12,九宫幻卡：贤王莫古尔·莫古十二世 莫古尔·莫古的胡须
50,,利维亚桑歼灭战,,15,九宫幻卡：利维亚桑 利维亚桑之棘
50,,拉姆歼灭战,,15,九宫幻卡：拉姆 拉姆之珠
50,,希瓦歼灭战,,15,九宫幻卡：希瓦 希瓦之泪
50,√,奥丁歼灭战,,15,九宫幻卡：奥丁 陈旧的乐谱：斩
50,,究极神兵假想作战,,15,九宫幻卡：究极神兵 陈旧的乐谱：诸神已死
50,√,迦楼罗歼殛战,,20,梦魇笛 风妖笛 九宫幻卡：迦楼罗 陈旧的乐谱：堕天使 迦楼罗魔羽
50,√,泰坦歼殛战,,20,梦魇笛 土妖笛 九宫幻卡：泰坦 陈旧的乐谱：重压灭顶 泰坦魔岩
50,√,伊弗利特歼殛战,,20,梦魇笛 火妖笛 九宫幻卡：伊弗利特 陈旧的乐谱：原始的审判 伊弗利特魔角
50,√,莫古力贤王歼殛战,,20,九宫幻卡：贤王莫古尔·莫古十二世 陈旧的乐谱：贤王莫古尔·莫古十二世 莫古尔·莫古的魔须
50,,利维亚桑歼殛战,,20,水妖笛 九宫幻卡：利维亚桑 陈旧的乐谱：水手遇难 陈旧的乐谱：混沌的漩涡 利维亚桑之棘 利维亚桑魔棘 水神魔镜
50,,拉姆歼殛战,,20,雷妖笛 九宫幻卡：拉姆 陈旧的乐谱：电闪雷鸣 拉姆之珠 拉姆魔珠
50,,希瓦歼殛战,,22,冰妖笛 九宫幻卡：希瓦 陈旧的乐谱：雪上的足迹 陈旧的乐谱：忘却的彼岸 希瓦之泪 希瓦魔泪 钻石尘晶
53,√,罗波那歼灭战,,,九宫幻卡：罗波那 罗波那之翅
57,,俾斯麦歼灭战,,,九宫幻卡：俾斯麦 俾斯麦之角
50,,水晶塔 古代人迷宫,,100,九宫幻卡：提坦 陈旧的乐谱：傲慢 陈旧的乐谱：一落千丈 次元刀的碎片 亚拉戈魔触媒
50,,水晶塔 希尔科斯塔,,100,洋葱小骑士 九宫幻卡：赞德 管弦乐琴乐谱：破碎 陈旧的乐谱：绚烂 陈旧的乐谱：多加与乌内之心 宝座水晶块 亚拉戈魔触媒
50,,水晶塔 暗之世界,,100,暗淡之云 九宫幻卡：洋葱剑士 九宫幻卡：暗黑之云 陈旧的乐谱：暗淡 陈旧的乐谱：最后的死斗 希尔科斯水晶碎片
50,√,巴哈姆特大迷宫 邂逅之章1,,10,自卫系统外壳 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：头部防具 亚拉戈以太石：手部防具 亚拉戈以太石：脚部防具
50,√,巴哈姆特大迷宫 邂逅之章2,,10,自卫系统内构 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：头部防具 亚拉戈以太石：腿部防具
50,√,巴哈姆特大迷宫 邂逅之章3,,,
50,√,巴哈姆特大迷宫 邂逅之章4,,10,亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：手部防具 亚拉戈以太石：脚部防具
50,√,巴哈姆特大迷宫 邂逅之章5,,10,陈旧的乐谱：雷鸣 自卫系统光源 亚拉戈乌兹块 亚拉戈纤维 亚拉戈鞣革 亚拉戈以太石：武器 亚拉戈以太石：身体防具
50,√,巴哈姆特大迷宫 入侵之章1,,20,亚拉戈高位以太石：头部防具 亚拉戈高位以太石：脚部防具
50,√,巴哈姆特大迷宫 入侵之章2,,20,亚拉戈高位以太石：手部防具 亚拉戈高位以太石：腿部防具
50,√,巴哈姆特大迷宫 入侵之章3,,20,亚拉戈高位以太石：头部防具 亚拉戈高位以太石：手部防具 亚拉戈高位以太石：脚部防具
50,√,巴哈姆特大迷宫 入侵之章4,,20,陈旧的乐谱：白银凶鸟展翅翱翔 白银甲胄的碎片 亚拉戈高位以太石：武器 亚拉戈高位以太石：身体防具
50,√,巴哈姆特大迷宫 真源之章1,,30,亚拉戈新型以太石：头部防具 亚拉戈新型以太石：手部防具 亚拉戈新型以太石：脚部防具
50,√,巴哈姆特大迷宫 真源之章2,,30,亚拉戈新型以太石：头部防具 亚拉戈新型以太石：腿部防具
50,√,巴哈姆特大迷宫 真源之章3,,30,陈旧的乐谱：死灰复燃 亚拉戈新型以太石：手部防具 亚拉戈新型以太石：脚部防具
50,√,巴哈姆特大迷宫 真源之章4,,30,陈旧的乐谱：Answers -生死答问- 龙炎碎片 亚拉戈新型以太石：身体防具
