等级,机制,副本名称,游戏图片,货币奖励,特殊物品
60,,亚历山大机神城 律动之章2,,10,
60,,亚历山大机神城 律动之章3,,10,
60,,亚历山大机神城 律动之章4,,10,九宫幻卡：残暴正义号 浮士德装甲板
60,,亚历山大机神城 天动之章1,,20,
60,,亚历山大机神城 天动之章2,,20,
60,,亚历山大机神城 天动之章3,,20,
60,,亚历山大机神城 天动之章4,,20,迷你亚历山大 九宫幻卡：至尊亚历山大 亚历山大装甲板
60,√,亚历山大零式机神城 启动之章1,,15,
60,√,亚历山大零式机神城 启动之章2,,15,
60,√,亚历山大零式机神城 启动之章3,,15,
60,√,亚历山大零式机神城 启动之章4,,15,哥布林战车齿轮 戈耳狄齿轮 戈耳狄大齿轮 7号哥布林钢板
60,√,亚历山大零式机神城 律动之章1,,15,
60,√,亚历山大零式机神城 律动之章2,,15,
60,√,亚历山大零式机神城 律动之章3,,15,
60,√,亚历山大零式机神城 律动之章4,,15,迷你浮士德 浮士德装甲板
60,√,亚历山大零式机神城 天动之章1,,30,
60,√,亚历山大零式机神城 天动之章2,,30,
60,√,亚历山大零式机神城 天动之章3,,30,
60,√,亚历山大零式机神城 天动之章4,,30,阿里达乌斯主密钥 迷你亚历山大 亚历山大装甲板
